rank,priority,industry_label,quality_score,source,platform,author,profile_url,compose_url,contact_mode,fit_tier,source_url,published_at,title,signal_summary,recommended_offer,first_message,next_action
1,P0,留学顾问 / G5 本科,100,frontend-b2b/data/leads_snapshot.json,小红书,英国名校留学找KK（领藤甄选）,https://www.xiaohongshu.com/user/profile/6895568e0000000028029ad9,,manual_profile_or_source,direct_buyer,https://www.xiaohongshu.com/explore/68da3eae0000000011016153,2026-02-23T03:21:13.326109,英国 G5 本科申请内容号,内容聚焦英国 G5、本科申请和高客单规划，适合用高意向公开需求帖承接咨询。,G5、本科申请、英本规划线索包：先发 4 条免费样本，匹配后按方向交付 30-50 条，首轮 999。,"你好，我看到你在小红书做英国 G5 本科申请内容号相关内容。我这边在做 LeadPulse，专门从公开平台里筛正在主动表达留学需求的帖子，比如问中介推荐、选校定位、文书求助、申请复盘这类，不碰手机号、微信号或私信数据。

我现在有一小包免费样本，里面包括MFE 选校求助、求英港留学中介推荐、艺术类 PhD 定位求助。如果你愿意，我先发 4 条给你判断质量；能用的话，再按你的主做方向人工清洗 30-50 条，每条带原帖链接、需求摘要、优先级和建议破冰话术，首轮 999，明天交付。",直客优先：打开来源或主页，核对账号是真实机构/顾问；复制草稿，由你在平台内手动私信。
2,P0,留学内容号 / QS100 硕士,100,frontend-b2b/data/leads_snapshot.json,小红书,糖糖的海外通关站,https://www.xiaohongshu.com/user/profile/6614fdca0000000007004262,,manual_profile_or_source,direct_buyer,https://www.xiaohongshu.com/explore/698dacca0000000028022ef3,2026-02-23T02:20:56.700844,英国留学 QS100 硕士内容号,持续发布英国留学、QS100 和硕士申请内容，适合测试英国硕士方向需求线索包。,英国硕士、QS100、普通背景学生定位线索包：每条包含来源链接、需求判断和建议开场。,"你好，我看到你在小红书做英国留学 QS100 硕士内容号相关内容。我这边在做 LeadPulse，专门从公开平台里筛正在主动表达留学需求的帖子，比如问中介推荐、选校定位、文书求助、申请复盘这类，不碰手机号、微信号或私信数据。

我现在有一小包免费样本，里面包括MFE 选校求助、求英港留学中介推荐、艺术类 PhD 定位求助。如果你愿意，我先发 4 条给你判断质量；能用的话，再按你的主做方向人工清洗 30-50 条，每条带原帖链接、需求摘要、优先级和建议破冰话术，首轮 999，明天交付。",直客优先：打开来源或主页，核对账号是真实机构/顾问；复制草稿，由你在平台内手动私信。
3,P0,留学顾问 / 英本 G5,100,frontend-b2b/data/leads_snapshot.json,小红书,Vivi学姐本硕精英留学,https://www.xiaohongshu.com/user/profile/66963b2c0000000003031ef5,,manual_profile_or_source,direct_buyer,https://www.xiaohongshu.com/explore/691428f1000000000703767e,2026-02-23T01:13:40.866668,英国 G5 和国际生本科申请内容号,账号主打英国 G5、国际生本科申请和成绩规划，有明确咨询转化场景。,英本、G5、国际生本科申请线索包：人工清洗 30-50 条，包含破冰话术，首轮 999。,"你好，我看到你在小红书做英国 G5 和国际生本科申请内容号相关内容。我这边在做 LeadPulse，专门从公开平台里筛正在主动表达留学需求的帖子，比如问中介推荐、选校定位、文书求助、申请复盘这类，不碰手机号、微信号或私信数据。

我现在有一小包免费样本，里面包括MFE 选校求助、求英港留学中介推荐、艺术类 PhD 定位求助。如果你愿意，我先发 4 条给你判断质量；能用的话，再按你的主做方向人工清洗 30-50 条，每条带原帖链接、需求摘要、优先级和建议破冰话术，首轮 999，明天交付。",直客优先：打开来源或主页，核对账号是真实机构/顾问；复制草稿，由你在平台内手动私信。
4,P0,留学机构 / 英硕申请,96,frontend-b2b/data/leads_snapshot.json,微博,菁程留学SHINETOUR,,,manual_profile_or_source,direct_buyer,https://m.weibo.cn/status/5212695838328390,2026-02-22T20:03:06.021058,26fall 英国硕士申请内容号,持续发布 26fall 英国硕士申请时间线、选校、文书和签证内容，有明确获客和咨询承接需求。,英国硕士、26fall、英港申请线索包：30-50 条公开需求帖，带原帖、需求摘要、优先级和破冰话术，首轮 999。,"你好，我看到你在微博做26fall 英国硕士申请内容号相关内容。我这边在做 LeadPulse，专门从公开平台里筛正在主动表达留学需求的帖子，比如问中介推荐、选校定位、文书求助、申请复盘这类，不碰手机号、微信号或私信数据。

我现在有一小包免费样本，里面包括MFE 选校求助、求英港留学中介推荐、艺术类 PhD 定位求助。如果你愿意，我先发 4 条给你判断质量；能用的话，再按你的主做方向人工清洗 30-50 条，每条带原帖链接、需求摘要、优先级和建议破冰话术，首轮 999，明天交付。",直客优先：打开来源或主页，核对账号是真实机构/顾问；复制草稿，由你在平台内手动私信。
5,P1,留学渠道号 / 投稿反馈,68,frontend-b2b/data/leads_snapshot.json,微博,课代表的留学信箱,,,manual_profile_or_source,channel_partner,https://m.weibo.cn/status/4858543566492502,2026-02-22T20:02:37.302281,留学中介反馈投稿账号,发布留学中介反馈和学生投稿，适合测试机构口碑、避坑和需求监控方向。,机构口碑监控和需求线索包：公开内容筛选加人工清洗，不承诺非公开联系方式。,"你好，我看到你在微博做留学中介反馈投稿账号相关内容。我这边在做 LeadPulse，用公开平台上的留学需求帖做人工清洗，把原帖、需求摘要、意向判断和建议破冰话术整理成可交付样本，不碰手机号、微信号或私信数据。

我现在有 4 条免费样本，里面包括MFE 选校求助、求英港留学中介推荐、艺术类 PhD 定位求助。如果你们有内容选题、机构合作分发，或者想判断这些需求能不能卖给机构客户，我可以先发样本给你看；方向合适再按国家/项目整理 30-50 条，首轮 999。",渠道观察：只在直客联系完后处理，先判断对方是否适合合作分发或转介绍。
6,P1,留学社群 / offer 播报,68,frontend-b2b/data/leads_snapshot.json,微博,offer播报酱,,,manual_profile_or_source,channel_partner,https://m.weibo.cn/status/5260029508455251,2026-02-22T20:03:00.633787,26fall 留学社群和 offer 播报账号,账号围绕 26fall 留学社群、房源、同届搭子和申请节点运营，可能需要持续需求发现和社群线索分层。,26fall 社群线索分层包：按国家、院校、项目阶段整理公开需求信号。,"你好，我看到你在微博做26fall 留学社群和 offer 播报账号相关内容。我这边在做 LeadPulse，用公开平台上的留学需求帖做人工清洗，把原帖、需求摘要、意向判断和建议破冰话术整理成可交付样本，不碰手机号、微信号或私信数据。

我现在有 4 条免费样本，里面包括MFE 选校求助、求英港留学中介推荐、艺术类 PhD 定位求助。如果你们有内容选题、机构合作分发，或者想判断这些需求能不能卖给机构客户，我可以先发样本给你看；方向合适再按国家/项目整理 30-50 条，首轮 999。",渠道观察：只在直客联系完后处理，先判断对方是否适合合作分发或转介绍。
7,P1,留学渠道号 / 机构评价,60,frontend-b2b/data/leads_snapshot.json,微博,留学界的大众点评,,,manual_profile_or_source,channel_partner,https://m.weibo.cn/status/4779866660540740,2026-02-22T20:02:42.745186,留学机构评价和推荐账号,账号定位是留学机构反馈、推荐和评价，既可能是客户，也可能成为样本线索分发渠道。,机构需求线索、负面评价监控和合作分发线索包：按国家或项目整理 30-50 条。,"你好，我看到你在微博做留学机构评价和推荐账号相关内容。我这边在做 LeadPulse，用公开平台上的留学需求帖做人工清洗，把原帖、需求摘要、意向判断和建议破冰话术整理成可交付样本，不碰手机号、微信号或私信数据。

我现在有 4 条免费样本，里面包括MFE 选校求助、求英港留学中介推荐、艺术类 PhD 定位求助。如果你们有内容选题、机构合作分发，或者想判断这些需求能不能卖给机构客户，我可以先发样本给你看；方向合适再按国家/项目整理 30-50 条，首轮 999。",渠道观察：只在直客联系完后处理，先判断对方是否适合合作分发或转介绍。
8,P1,留学内容号 / 中介选择,60,frontend-b2b/data/leads_snapshot.json,微博,留学攻略,,,manual_profile_or_source,channel_partner,https://m.weibo.cn/status/4824527052212202,2026-02-23T02:52:59.033564,留学中介选择攻略内容号,发布留学中介选择和避坑内容，可用真实需求帖验证内容选题与机构获客价值。,中介推荐、避坑需求和选校定位线索包：每条带原帖、判断和可复制破冰话术。,"你好，我看到你在微博做留学中介选择攻略内容号相关内容。我这边在做 LeadPulse，用公开平台上的留学需求帖做人工清洗，把原帖、需求摘要、意向判断和建议破冰话术整理成可交付样本，不碰手机号、微信号或私信数据。

我现在有 4 条免费样本，里面包括MFE 选校求助、求英港留学中介推荐、艺术类 PhD 定位求助。如果你们有内容选题、机构合作分发，或者想判断这些需求能不能卖给机构客户，我可以先发样本给你看；方向合适再按国家/项目整理 30-50 条，首轮 999。",渠道观察：只在直客联系完后处理，先判断对方是否适合合作分发或转介绍。
